tripinfos [xmlns:xsi],tripinfos [xsi:noNamespaceSchemaLocation],tripinfo [arrivalLane],tripinfo [arrivalPos],tripinfo [arrivalSpeed],tripinfo [arrival],tripinfo [departDelay],tripinfo [departLane],tripinfo [departPos],tripinfo [departSpeed],tripinfo [depart],tripinfo [devices],tripinfo [duration],tripinfo [id],tripinfo [rerouteNo],tripinfo [routeLength],tripinfo [speedFactor],tripinfo [stopTime],tripinfo [timeLoss],tripinfo [vType],tripinfo [vaporized],tripinfo [waitingCount],tripinfo [waitingTime]
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546429#11_0,4.67,12.43,82.00,0.87,239353258#1_0,5.10,0.00,44.00,tripinfo_veh140 routing_veh140,38.00,veh140,1,410.67,0.96,0.00,5.14,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7515979#16_0,24.01,8.79,133.00,0.98,7516981#12_0,5.10,0.00,13.00,tripinfo_veh39 routing_veh39,120.00,veh39,1,1213.41,1.10,0.00,17.95,veh_passenger,,1,1.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,430014571#0_0,3.92,11.87,136.00,0.60,7331866#0_0,5.10,7.30,16.00,tripinfo_veh50 routing_veh50,120.00,veh50,1,1049.33,0.88,0.00,13.66,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,27628545#1_0,38.56,13.87,148.00,0.84,7332973#3_0,5.10,0.00,7.00,tripinfo_veh20 routing_veh20,141.00,veh20,1,1815.08,1.01,0.00,17.99,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7511774#9_0,35.98,7.74,157.00,0.97,-7511797#9_0,5.10,0.00,25.00,tripinfo_veh78 routing_veh78,132.00,veh78,1,967.77,0.96,0.00,40.31,veh_passenger,,2,20.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7517175#0_0,216.99,12.87,158.00,0.46,-7517367#6_0,5.10,0.00,120.00,tripinfo_veh388 routing_veh388,38.00,veh388,0,407.79,0.95,0.00,5.91,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7331645_0,33.73,8.64,161.00,0.79,-7331962#3_0,5.10,11.21,47.00,tripinfo_veh150 routing_veh150,114.00,veh150,1,1079.46,1.16,0.00,39.56,veh_passenger,,1,22.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,13.86,172.00,0.00,-275095923#6_0,5.10,0.00,100.00,tripinfo_myflow1.0 routing_myflow1.0,72.00,myflow1.0,1,541.87,1.00,0.00,8.02,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,300547416_0,68.68,14.97,174.00,0.75,972892762#0_0,5.10,0.00,14.00,tripinfo_veh43 routing_veh43,160.00,veh43,1,2879.61,1.09,0.00,28.69,veh_passenger,,1,9.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7326861#2_0,7.87,7.94,175.00,0.14,-7327041#0_0,5.10,0.00,14.00,tripinfo_veh45 routing_veh45,161.00,veh45,1,1766.79,1.04,0.00,23.26,veh_passenger,,1,1.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1125839328#4_0,23.12,13.85,177.00,0.02,1126480706#1_0,5.10,0.00,45.00,tripinfo_veh146 routing_veh146,132.00,veh146,1,1468.30,1.00,0.00,23.17,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327007#3_0,46.38,8.05,179.00,0.66,-51067767#2_0,5.10,0.00,25.00,tripinfo_veh79 routing_veh79,154.00,veh79,1,1478.15,0.98,0.00,25.08,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7330728#9_0,191.54,13.49,182.00,0.74,7512927#1_0,5.10,0.00,26.00,tripinfo_veh82 routing_veh82,156.00,veh82,1,1639.42,1.01,0.00,28.95,veh_passenger,,2,9.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7517232#0_0,125.13,12.13,185.00,0.68,497839161#0_1,5.10,0.00,13.00,tripinfo_veh40 routing_veh40,172.00,veh40,1,1536.93,0.90,0.00,47.08,veh_passenger,,2,28.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7516603#2_0,6.13,8.59,186.00,0.31,280058729#0_0,5.10,5.57,122.00,tripinfo_veh395 routing_veh395,64.00,veh395,1,519.36,1.14,0.00,8.35,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,12.45,192.00,0.50,-275095923#6_0,5.10,0.00,118.00,tripinfo_myflow1.1 routing_myflow1.1,74.00,myflow1.1,1,541.87,0.96,0.00,7.69,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7547191#0_0,22.25,3.04,208.00,0.40,7546499#6_0,5.10,0.00,50.00,tripinfo_veh161 routing_veh161,158.00,veh161,1,1207.38,1.04,0.00,19.66,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519692#1_0,7.47,3.95,208.00,0.17,7519874#5_0,5.10,0.00,51.00,tripinfo_veh165 routing_veh165,157.00,veh165,1,1854.92,1.07,0.00,22.87,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,13.00,208.00,0.00,-275095923#6_0,5.10,0.00,135.00,tripinfo_myflow1.2 routing_myflow1.2,73.00,myflow1.2,1,541.87,0.99,0.00,7.86,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7546296_0,47.33,7.28,211.00,0.91,7519966_0,5.10,0.00,12.00,tripinfo_veh36 routing_veh36,199.00,veh36,1,1971.33,1.02,0.00,29.63,veh_passenger,,1,4.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,45581740#2_0,0.20,6.79,214.00,0.82,-7510879#1_0,5.10,0.00,19.00,tripinfo_veh59 routing_veh59,195.00,veh59,1,1897.14,0.90,0.00,20.19,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-624185603#0_0,17.33,3.38,224.00,0.31,7547487#3_0,0.20,5.19,57.00,tripinfo_veh184 routing_veh184,167.00,veh184,1,1341.68,0.94,0.00,18.18,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,73180115#2_0,116.89,13.92,225.00,0.96,7330804#2_0,5.10,0.00,151.00,tripinfo_veh487 routing_veh487,74.00,veh487,1,780.41,1.08,0.00,9.30,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7326009#2_0,88.72,6.64,226.00,0.65,670686455_0,5.10,12.89,37.00,tripinfo_veh118 routing_veh118,189.00,veh118,1,1851.15,0.93,0.00,19.06,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519791#2_0,74.69,9.49,227.00,0.93,-7546408#1_0,5.10,0.00,53.00,tripinfo_veh169 routing_veh169,174.00,veh169,1,2248.03,1.18,0.00,18.60,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546413#1_0,19.97,10.47,229.00,0.22,1075510483_0,5.10,0.00,72.00,tripinfo_veh233 routing_veh233,157.00,veh233,1,652.99,0.83,0.00,113.30,veh_passenger,,3,82.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7330037#0_0,43.36,6.73,230.00,0.41,7330759_0,5.10,0.00,42.00,tripinfo_veh135 routing_veh135,188.00,veh135,1,1085.50,0.82,0.00,58.89,veh_passenger,,2,36.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,12.33,230.00,0.50,-275095923#6_0,5.10,0.00,153.00,tripinfo_myflow1.3 routing_myflow1.3,77.00,myflow1.3,1,541.87,0.93,0.00,8.69,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,14.13,233.00,0.00,-275095923#6_0,5.10,0.00,170.00,tripinfo_myflow1.4 routing_myflow1.4,63.00,myflow1.4,1,541.87,1.13,0.00,6.43,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7512126#0_0,0.20,7.05,242.00,0.46,7330929_2,5.10,0.00,63.00,tripinfo_veh203 routing_veh203,179.00,veh203,1,1360.87,0.92,0.00,70.48,veh_passenger,,3,45.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7332624#3_0,52.43,8.15,244.00,0.91,-602549448#3_0,2.71,0.00,73.00,tripinfo_veh234 routing_veh234,171.00,veh234,1,1587.22,1.09,0.00,37.47,veh_passenger,,1,16.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,176760027#0_0,13.78,8.37,247.00,0.89,1088831210_3,5.10,0.00,28.00,tripinfo_veh88 routing_veh88,219.00,veh88,1,2744.35,1.15,0.00,62.18,veh_passenger,,3,22.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546281#0_0,63.22,7.60,249.00,0.37,-603982146#0_0,5.10,0.00,13.00,tripinfo_veh41 routing_veh41,236.00,veh41,1,3047.52,1.03,0.00,50.17,veh_passenger,,2,11.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,275095908#2_0,30.92,7.60,249.00,0.30,-7511208#1_0,1.46,0.00,187.00,tripinfo_veh606 routing_veh606,62.00,veh606,1,451.21,1.01,0.00,8.42,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7511227#1_0,15.96,7.37,255.00,0.94,-1047514601#4_0,5.10,0.00,45.00,tripinfo_veh143 routing_veh143,210.00,veh143,1,1591.11,1.01,0.00,22.17,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-424323772_0,108.81,12.12,258.00,0.58,-908167946_0,5.10,0.00,32.00,tripinfo_veh102 routing_veh102,226.00,veh102,1,3052.49,0.91,0.00,28.14,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519667#5_0,5.12,6.56,259.00,0.45,-7520017#2_0,5.10,0.00,189.00,tripinfo_veh612 routing_veh612,70.00,veh612,1,483.33,0.92,0.00,10.05,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7511694#1_0,15.64,7.17,262.00,0.06,89984850#3_0,5.10,0.00,13.00,tripinfo_veh42 routing_veh42,249.00,veh42,1,1961.18,0.96,0.00,49.95,veh_passenger,,1,17.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7515863#0_0,50.42,9.37,262.00,0.15,88447138#1_0,5.10,0.00,120.00,tripinfo_veh389 routing_veh389,142.00,veh389,1,1462.28,1.20,0.00,44.41,veh_passenger,,2,13.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,12.60,263.00,0.50,-275095923#6_0,5.10,0.00,188.00,tripinfo_myflow1.5 routing_myflow1.5,75.00,myflow1.5,1,541.87,0.95,0.00,7.74,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7510888#1_0,74.66,8.79,264.00,0.99,-7510741_0,5.10,0.00,188.00,tripinfo_veh607 routing_veh607,76.00,veh607,1,671.10,1.09,0.00,10.16,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7520086#0_0,0.20,3.76,273.00,0.56,-7520101_0,5.10,0.00,40.00,tripinfo_veh128 routing_veh128,233.00,veh128,1,1939.43,0.94,0.00,25.62,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7517413#0_0,8.70,11.52,275.00,0.67,-682518230#1_0,5.10,8.22,21.00,tripinfo_veh66 routing_veh66,254.00,veh66,1,2189.54,0.99,0.00,75.53,veh_passenger,,4,33.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7546499#3_0,42.43,4.23,278.00,0.21,1019437360#17_0,5.10,0.00,19.00,tripinfo_veh61 routing_veh61,259.00,veh61,1,2023.62,1.02,0.00,72.19,veh_passenger,,2,28.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7517113_0,77.35,7.87,278.00,0.59,7520027#10_0,5.10,0.00,20.00,tripinfo_veh63 routing_veh63,258.00,veh63,1,3005.28,1.08,0.00,53.70,veh_passenger,,1,8.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,168860348#1_0,6.85,13.18,278.00,0.29,-7330828#0_0,5.10,0.00,77.00,tripinfo_veh249 routing_veh249,201.00,veh249,1,1618.68,0.99,0.00,58.59,veh_passenger,,2,28.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7518961#0_0,22.70,14.53,285.00,0.70,-7546178#5_0,5.10,0.00,58.00,tripinfo_veh186 routing_veh186,227.00,veh186,1,1844.78,0.90,0.00,44.01,veh_passenger,,1,15.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7331811#0_0,13.37,6.98,285.00,0.88,7331873#6_0,5.10,0.00,158.00,tripinfo_veh510 routing_veh510,127.00,veh510,1,1031.98,0.94,0.00,16.89,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7329725#2_0,34.84,7.58,286.00,0.47,-7511823#4_0,5.10,0.00,51.00,tripinfo_veh164 routing_veh164,235.00,veh164,1,2261.97,1.00,0.00,44.67,veh_passenger,,1,18.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-71306255#1_0,1.23,8.31,286.00,0.95,7510932#2_0,5.10,0.00,102.00,tripinfo_veh328 routing_veh328,184.00,veh328,1,1786.39,0.98,0.00,38.02,veh_passenger,,1,5.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7510913#2_0,89.13,6.13,286.00,0.85,7510837#1_0,5.10,0.00,117.00,tripinfo_veh377 routing_veh377,169.00,veh377,1,1496.56,0.82,0.00,20.62,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,11.05,286.00,0.00,-275095923#6_0,5.10,0.00,205.00,tripinfo_myflow1.6 routing_myflow1.6,81.00,myflow1.6,1,541.87,0.89,0.00,8.96,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,59306576#1_0,747.96,21.83,287.00,0.15,7519686#0_0,1.81,0.00,6.00,tripinfo_veh19 routing_veh19,281.00,veh19,1,3089.27,1.02,0.00,31.58,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,13.19,288.00,0.50,-275095923#6_0,5.10,0.00,223.00,tripinfo_myflow1.7 routing_myflow1.7,65.00,myflow1.7,1,541.87,1.14,0.00,8.76,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,48278114#5_0,9.49,12.92,290.00,0.42,7517037#1_0,5.10,0.00,213.00,tripinfo_veh690 routing_veh690,77.00,veh690,1,601.81,1.11,0.00,12.06,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519909#1_0,46.76,4.22,293.00,0.23,-1019437360#14_0,5.10,0.00,60.00,tripinfo_veh194 routing_veh194,233.00,veh194,1,2475.00,1.03,0.00,32.70,veh_passenger,,1,3.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7519694#2_0,19.29,4.05,297.00,0.25,1088831210_3,5.10,0.00,44.00,tripinfo_veh142 routing_veh142,253.00,veh142,1,4523.14,1.23,0.00,34.18,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7546815#0_0,133.76,8.72,298.00,0.55,-7547115#2_0,0.20,0.00,113.00,tripinfo_veh365 routing_veh365,185.00,veh365,1,1838.78,1.17,0.00,27.17,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519698#1_0,21.17,2.67,298.00,0.22,-7519033#2_0,5.10,0.00,129.00,tripinfo_veh418 routing_veh418,169.00,veh418,1,1142.00,0.93,0.00,21.33,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519728#9_0,18.54,6.98,299.00,0.42,126710371_0,5.10,0.00,30.00,tripinfo_veh96 routing_veh96,269.00,veh96,1,3923.00,0.89,0.00,24.94,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7511838#4_0,32.61,14.62,300.00,0.96,7516981#7_0,5.10,0.00,33.00,tripinfo_veh104 routing_veh104,267.00,veh104,1,2489.25,1.10,0.00,90.27,veh_passenger,,2,62.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7519725_0,55.48,3.09,305.00,0.90,79404468_0,5.10,0.00,16.00,tripinfo_veh49 routing_veh49,289.00,veh49,1,2446.30,0.90,0.00,39.69,veh_passenger,,1,1.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7511194#1_0,126.28,6.94,306.00,0.79,7510790#5_0,5.10,0.00,104.00,tripinfo_veh335 routing_veh335,202.00,veh335,1,1772.23,0.90,0.00,21.43,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,142386725_0,48.92,8.91,307.00,0.75,-7519884_0,5.10,0.00,132.00,tripinfo_veh426 routing_veh426,175.00,veh426,1,1828.46,1.12,0.00,35.73,veh_passenger,,1,11.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1073808574_0,58.38,14.05,310.00,0.23,7513073_0,5.10,9.09,3.00,tripinfo_veh9 routing_veh9,307.00,veh9,1,3705.14,1.09,0.00,32.09,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7332806_0,32.79,7.10,310.00,0.86,7332067#0_0,5.10,0.00,109.00,tripinfo_veh351 routing_veh351,201.00,veh351,1,1599.64,1.01,0.00,18.46,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7512947#1_0,22.06,6.34,316.00,0.22,-640885624_0,5.10,0.00,7.00,tripinfo_veh22 routing_veh22,309.00,veh22,1,2934.88,0.89,0.00,34.73,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7512126#1_0,0.20,6.45,318.00,0.59,7329816#20_0,5.10,0.00,24.00,tripinfo_veh76 routing_veh76,294.00,veh76,1,1916.35,0.94,0.00,120.27,veh_passenger,,4,80.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-493750198#5_0,65.68,8.09,318.00,0.10,-7326973#3_0,5.10,0.00,42.00,tripinfo_veh136 routing_veh136,276.00,veh136,1,2764.70,1.12,0.00,74.40,veh_passenger,,3,39.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-897022904_0,54.32,8.27,323.00,0.52,406026191#2_0,5.10,0.00,15.00,tripinfo_veh47 routing_veh47,308.00,veh47,1,3280.92,1.00,0.00,40.36,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,10.93,323.00,0.00,-275095923#6_0,5.10,0.00,240.00,tripinfo_myflow1.8 routing_myflow1.8,83.00,myflow1.8,1,541.87,0.85,0.00,8.65,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,13.18,325.00,0.50,-275095923#6_0,5.10,0.00,258.00,tripinfo_myflow1.9 routing_myflow1.9,67.00,myflow1.9,1,541.87,1.14,0.00,11.34,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7332987#1_0,64.36,8.31,329.00,0.90,133093131#1_0,5.10,0.00,81.00,tripinfo_veh260 routing_veh260,248.00,veh260,1,2905.23,1.13,0.00,40.74,veh_passenger,,1,2.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7330422#1_0,15.43,7.64,332.00,0.26,-7512875#1_0,2.81,0.00,36.00,tripinfo_veh116 routing_veh116,296.00,veh116,1,3109.85,1.06,0.00,50.77,veh_passenger,,1,13.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7511109#9_0,0.20,7.91,332.00,0.60,7519525_0,5.10,0.00,73.00,tripinfo_veh235 routing_veh235,259.00,veh235,1,3659.30,0.97,0.00,29.62,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7330855#0_0,21.41,7.92,332.00,0.66,133093135#1_0,0.20,0.00,147.00,tripinfo_veh475 routing_veh475,185.00,veh475,1,1258.73,0.96,0.00,26.22,veh_passenger,,1,5.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7511227#1_0,15.96,6.91,335.00,0.59,7516879#0_0,5.10,0.00,203.00,tripinfo_veh657 routing_veh657,132.00,veh657,1,905.17,0.93,0.00,13.70,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7515863#0_0,50.42,8.13,336.00,0.03,7511812#3_0,5.10,0.00,155.00,tripinfo_veh503 routing_veh503,181.00,veh503,1,1799.06,1.04,0.00,25.83,veh_passenger,,1,4.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-673456003_0,60.85,8.80,343.00,0.17,-7333256#2_0,5.10,0.00,104.00,tripinfo_veh337 routing_veh337,239.00,veh337,1,2520.97,1.11,0.00,57.28,veh_passenger,,1,10.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327038#13_0,5.80,14.35,343.00,0.73,1043563085#2_0,5.10,0.00,152.00,tripinfo_veh491 routing_veh491,191.00,veh491,1,2092.91,1.12,0.00,35.27,veh_passenger,,1,8.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,27647884#2_0,145.36,11.66,345.00,0.08,7516926#2_0,5.10,0.00,119.00,tripinfo_veh386 routing_veh386,226.00,veh386,1,1988.09,0.86,0.00,27.26,veh_passenger,,1,1.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-1267989605#1_0,29.94,12.75,345.00,0.00,-275095923#6_0,5.10,0.00,275.00,tripinfo_myflow1.10 routing_myflow1.10,70.00,myflow1.10,1,541.87,1.03,0.00,8.18,DEFAULT_VEHTYPE,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546302#5_0,38.47,7.23,346.00,0.48,7520173#2_0,5.10,0.00,47.00,tripinfo_veh151 routing_veh151,299.00,veh151,1,2605.86,0.94,0.00,39.84,veh_passenger,,1,2.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7516865_0,27.40,6.05,346.00,0.67,-7515979#3_0,5.10,0.00,135.00,tripinfo_veh436 routing_veh436,211.00,veh436,1,1383.06,0.86,0.00,49.86,veh_passenger,,1,26.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,71306264_0,7.95,10.13,346.00,0.36,24403208#4_0,5.10,0.00,139.00,tripinfo_veh450 routing_veh450,207.00,veh450,1,2181.00,0.94,0.00,26.01,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,1025173307#1_0,0.64,5.92,347.00,0.32,7329575#4_0,5.10,0.00,53.00,tripinfo_veh171 routing_veh171,294.00,veh171,1,2505.55,0.91,0.00,37.44,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-132473273#1_0,18.28,8.05,349.00,0.41,162151058#0_0,5.10,0.00,99.00,tripinfo_veh320 routing_veh320,250.00,veh320,1,2545.69,1.10,0.00,54.36,veh_passenger,,1,25.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,71028792#0_0,13.72,19.97,351.00,0.69,7517441_1,5.10,0.00,5.00,tripinfo_veh14 routing_veh14,346.00,veh14,1,5079.65,0.93,0.00,55.76,veh_passenger,,2,17.00
