tripinfos [xmlns:xsi],tripinfos [xsi:noNamespaceSchemaLocation],tripinfo [arrivalLane],tripinfo [arrivalPos],tripinfo [arrivalSpeed],tripinfo [arrival],tripinfo [departDelay],tripinfo [departLane],tripinfo [departPos],tripinfo [departSpeed],tripinfo [depart],tripinfo [devices],tripinfo [duration],tripinfo [id],tripinfo [rerouteNo],tripinfo [routeLength],tripinfo [speedFactor],tripinfo [stopTime],tripinfo [timeLoss],tripinfo [vType],tripinfo [vaporized],tripinfo [waitingCount],tripinfo [waitingTime]
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#1_0,10.11,10.02,1544.00,8.07,-7329832#1_0,5.10,0.00,1071.00,tripinfo_myflow5.18 routing_myflow5.18,473.00,myflow5.18,1,1953.83,1.11,0.00,308.76,DEFAULT_VEHTYPE,,7,202.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#0_0,12.32,10.37,1545.00,0.00,-7329725#7_0,5.10,0.00,1296.00,tripinfo_myflow2.22 routing_myflow2.22,249.00,myflow2.22,1,1739.86,1.06,0.00,71.98,DEFAULT_VEHTYPE,,2,33.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-275095908#0_0,58.00,7.69,1546.00,0.79,7547399#2_0,5.10,0.00,161.00,tripinfo_veh520 routing_veh520,1385.00,veh520,1,10223.21,0.94,0.00,678.60,veh_passenger,,7,510.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7329725#7_0,29.34,7.23,1546.00,1.00,7327147#0_0,5.10,0.00,1027.00,tripinfo_myflow3.14 routing_myflow3.14,519.00,myflow3.14,1,3636.55,0.95,0.00,217.98,DEFAULT_VEHTYPE,,5,162.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7517367#0_0,36.61,13.79,1547.00,0.38,7547088#1_0,12.10,0.00,615.00,tripinfo_bus665 routing_bus665,932.00,bus665,1,9775.33,1.00,0.00,270.62,bus_bus,,10,93.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7510449#1_0,18.16,8.27,1548.00,0.24,-275095923#4_0,5.10,0.00,1309.00,tripinfo_veh4248 routing_veh4248,239.00,veh4248,1,2505.27,1.07,0.00,24.55,veh_passenger,,0,0.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7329725#7_0,29.34,7.78,1548.00,0.00,7327147#0_0,5.10,0.00,1323.00,tripinfo_myflow3.47 routing_myflow3.47,225.00,myflow3.47,1,1419.21,1.03,0.00,98.74,DEFAULT_VEHTYPE,,2,63.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,659277555#7_0,21.16,7.94,1549.00,8.81,88442405#0_1,12.10,0.00,775.00,tripinfo_bus829 routing_bus829,774.00,bus829,1,10702.38,1.00,0.00,236.69,bus_bus,,7,97.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7546339#6_0,37.36,5.42,1549.00,0.70,7520146#2_0,5.10,0.00,1193.00,tripinfo_veh3870 routing_veh3870,356.00,veh3870,1,2877.05,0.78,0.00,46.62,veh_passenger,,2,5.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,-7327147#1_0,10.11,13.53,1549.00,15.08,-7329832#1_0,5.10,0.00,1087.00,tripinfo_myflow5.19 routing_myflow5.19,462.00,myflow5.19,1,1953.83,1.14,0.00,302.21,DEFAULT_VEHTYPE,,6,197.00
http://www.w3.org/2001/XMLSchema-instance,http://sumo.dlr.de/xsd/tripinfo_file.xsd,7551911#1_0,231.93,13.31,1550.00,0.61,-7326052#4_0,12.10,8.33,252.00,tripinfo_bus272 routing_bus272,1298.00,bus272,1,15650.45,1.00,0.00,516.98,bus_bus,,14,302.00
